ID_Credito,ID_Credito_original,ID_Tienda
7e18a3,00e9f5fb-d0c6-4f21-8f32-1f94a57e18a3,a02b206e-a6b1-4aea-8c29-e9689146f5da
f90920,0217aaae-6061-4762-8e58-ae121ff90920,47e1beb9-b68f-44a2-9c42-87913bd1b680
bf9109,024a9241-23ca-4153-bf38-240201bf9109,576c2d1c-c83c-4ee0-8f1b-fa0f4424204b
8d19f7,059af44e-6a1d-4956-b08b-1757218d19f7,9f17bb08-381c-46fe-8d61-a3b414441f88
5c889a,0633ae50-6afe-4a02-b281-7e10095c889a,aab292de-24b3-4462-b607-a720f2324a9e
1e5710,06a11008-0b0e-4b91-9a61-b9e7f81e5710,a776b910-0446-47ac-91ca-bb106981445f
e2e886,06dd2788-58b8-4f7a-8f8c-f6d6fbe2e886,302c1c2b-fa3d-4775-a402-f4d31a172526
deb9d4,0781cd3b-9796-4721-9825-643c87deb9d4,7e5dad80-c66b-4397-b60e-6bc814245b4d
206470,0b00f3cb-09f3-4358-b83e-2db2e9206470,3af35151-19f9-4698-b591-a8fb724857a8
eaf39c,0b247cd9-3b9d-4dc4-8ce4-6fb9d5eaf39c,220eddef-c9f3-485f-82eb-6234cac22433
c66b90,0b9e1454-53f4-4240-8b9b-8bcad5c66b90,cec35f1f-6b39-48f8-9267-51692e54e2f5
559ed0,0d8abf83-2fb4-47fe-89f3-4b61f7559ed0,e5e32664-9983-46d4-ad9f-6cd9afb87e1d
b925ea,0fd0b008-f7c1-4560-afd3-b5ed69b925ea,401f1e4b-d21a-4409-8eba-ce52e6752e49
f5a391,1076ba0b-5f89-404d-8016-c9ad55f5a391,325a1297-643b-40bc-a74f-6d0ec0f865a1
5be956,11866410-e0cd-4930-8a3c-7c25dd5be956,b3916e05-6381-4164-8ea8-3e8e85f1da9c
643b63,11b4c325-8cd7-4810-a11e-1f1818643b63,1210ff63-7f4a-4358-97fc-da73914950d3
683232,125bd8b8-dc90-4af2-94bd-e92ed9683232,3d2ad1f8-6235-4f5f-889e-9bf298532f05
0fe674,12c03d6b-2fd9-442b-b790-3205290fe674,d92ff820-2f85-4fe8-b27e-84e235cd602f
e69bc9,148ec589-2a84-4cfd-8e93-42d1ede69bc9,d151dc38-614d-4dbd-a640-7d37620b6445
fd50cc,14dad030-fd28-4960-8635-5a85bafd50cc,b6d907b5-0087-406f-841d-39dd2f3d8362
a88178,152ad5a9-c1df-4a80-8092-8ee4c4a88178,17a18aec-49e8-4787-9c44-01e303591fab
49e06d,1546ecc5-3c81-440e-953e-eacb1149e06d,e19064ff-1633-48a9-985a-41e7e6f7df31
97971a,15c420e2-ad3c-41d3-b3ab-dbfab297971a,decd49ad-ae18-4fc0-8ef0-a17253991ecd
6fe4c8,16467f23-db44-4e42-8a8e-9432446fe4c8,2b816b33-6a32-4703-844e-264e5916f4ff
6bd105,16683105-b4dd-4e1c-9dd2-8eaedd6bd105,6bbffd3b-cade-4d03-a718-b728b781e9e7
9faf11,16a3b32b-9774-4da8-aea8-442f3a9faf11,4560c488-6c04-43fa-8453-773e3f6a6ff1
e20ffa,16bd2df1-7350-4885-80d4-070e54e20ffa,9aa443fb-924c-4a7a-a8bb-baedfdd65697
ed1278,1814e2de-7cd9-4d79-b839-19c954ed1278,8b4ec083-7d5f-4ede-84eb-d046cb95945d
9fb372,186a3d29-2b52-428c-b8c3-6df0529fb372,d9726dc3-2c0f-4d9e-be83-a92e8d71e866
e18afa,18b8f1bf-06bb-4cad-84ef-c43d2ce18afa,94c7d757-1bf7-4890-b873-c32e7d0399f5
3d3827,19026dcb-327d-45ba-b3f7-6ae1953d3827,d0aff1ed-1931-44b7-97a4-be99fd51315e
d87cf5,19ddce5a-148f-4a3b-8c7a-f65cd5d87cf5,2014b74a-8e97-4d4a-bc62-1f71efc6413e
ed7fe3,1adf5a84-4eae-43e9-b740-fb73a4ed7fe3,8c00f9bc-8ecf-4096-bdd0-728ec8c31f44
c65659,1aea306b-13c7-47c3-8003-52ef33c65659,2b0fc06c-78d8-4225-b6e9-161d8e562866
3b4e07,1b432a23-816f-48df-89cc-7fab443b4e07,3eb1b317-f3ce-470b-8e2a-396f1f3fdbc7
7553af,1b9ffee9-6974-41e7-bd90-de85907553af,7d5cdb92-d4bd-4a33-a4aa-85fca1c85b26
4d29f0,1dd0a544-0d04-4f9f-b638-6a39184d29f0,1dbb9c08-8484-4893-bc60-fcd34a9a1f8b
18992d,1dd649b7-27be-4697-9f6c-f20e3a18992d,d87bf7f4-1731-4e54-a44e-1b3b8db36b7b
5ba78d,1e27150d-e903-42ba-a78a-b2ed035ba78d,8439d2f4-ab82-4dae-9b7d-769a162caf8a
bad000,1ec6a484-7a6a-4d69-a22d-117cf8bad000,98eb1db6-43c5-4fef-97b5-0ffff76a357e
abc168,2144dd1d-ef1b-454a-906d-5033b9abc168,c1cf9a5a-b537-48bb-8cbe-43a401d7d763
d31bf3,214996f5-724f-435b-965a-a46c73d31bf3,437a3bf6-271d-463a-8a21-43fe400af4bd
191ebf,22fb34f7-4069-462a-895e-490721191ebf,8123c7fa-74cd-4e13-a8a9-280a16633107
a08ff4,23dc91dd-448d-43ac-aa59-7bc5ffa08ff4,8d27d3e5-49b2-4e6b-9280-33284a94f4df
2b7f1d,23dd3b6e-8bc1-4a48-b7c7-79b4372b7f1d,a95ef92c-73de-41ed-9303-f42dd93bec39
