CP,Estado,Municipio
5600,C,Cuajimalpa de Morelos
72980,P,Amozoc
55780,E,Jaltenco
72775,P,San Pedro Cholula
4910,C,Coyoacán
4300,C,Coyoacán
56315,E,Atenco
56512,E,La Paz
72390,P,Puebla
72019,P,Puebla
72498,P,Puebla
72365,P,Puebla
72960,P,Puebla
72377,P,Puebla
72595,P,Puebla
56150,E,Texcoco
56246,E,Texcoco
56266,E,Texcoco
56130,E,Texcoco
56244,E,Texcoco
56203,E,Texcoco
56245,E,Texcoco
56250,E,Texcoco
13360,C,Tláhuac
13700,C,Tláhuac
13093,C,Tláhuac
13250,C,Tláhuac
13450,C,Tláhuac
55635,E,Zumpango
55614,E,Zumpango
8300,C,Iztacalco
8100,C,Iztacalco
9000,C,Iztapalapa
9570,C,Iztapalapa
9410,C,Iztapalapa
9900,C,Iztapalapa
9750,C,Iztapalapa
9608,C,Iztapalapa
9510,C,Iztapalapa
9830,C,Iztapalapa
9310,C,Iztapalapa
9700,C,Iztapalapa
9290,C,Iztapalapa
9500,C,Iztapalapa
16780,C,Xochimilco
16720,C,Xochimilco
56390,E,Chicoloapan
56386,E,Chicoloapan
56370,E,Chicoloapan
54857,E,Cuautitlán
54840,E,Cuautitlán
56335,E,Chimalhuacán
56343,E,Chimalhuacán
56334,E,Chimalhuacán
57450,E,Nezahualcóyotl
57000,E,Nezahualcóyotl
57200,E,Nezahualcóyotl
57210,E,Nezahualcóyotl
57410,E,Nezahualcóyotl
7164,C,Gustavo A. Madero
55360,E,Ecatepec de Morelos
55715,E,Coacalco de Berriozábal
56270,E,Chiconcuac
56618,E,Valle de Chalco Solidaridad
42995,H,Atotonilco de Tula
56050,E,Papalotla
53760,E,Naucalpan de Juárez
6800,C,Cuauhtémoc
44986,J,Guadalajara
75380,P,Huatlatlauca
45199,J,Zapopan
44260,J,Guadalajara
45417,J,Tonalá
45588,J,San Pedro Tlaquepaque
56560,E,Ixtapaluca
44259,J,Guadalajara
12400,C,Milpa Alta
4260,C,Coyoacán
5050,C,Cuajimalpa de Morelos
53570,E,Naucalpan de Juárez
56570,E,Ixtapaluca
56610,E,Valle de Chalco Solidaridad
54477,E,Nicolás Romero
6090,C,Cuauhtémoc
2630,C,Azcapotzalco
44700,J,Guadalajara
4369,C,Coyoacán
56608,E,Chalco
3510,C,Benito Juárez
2050,C,Azcapotzalco
6400,C,Cuauhtémoc
44720,J,Guadalajara
56585,E,Ixtapaluca
6250,C,Cuauhtémoc
56617,E,Valle de Chalco Solidaridad
45520,J,San Pedro Tlaquepaque
72990,P,Amozoc
11870,C,Miguel Hidalgo
12200,C,Milpa Alta
5320,C,Cuajimalpa de Morelos
5260,C,Cuajimalpa de Morelos
55859,E,San Martín de las Pirámides
50700,E,Jocotitlán
2980,C,Azcapotzalco
53490,E,Naucalpan de Juárez
72995,P,Amozoc
75657,P,Molcaxac
44370,J,Guadalajara
90780,T,Xicohtzinco
54440,E,Nicolás Romero
5110,C,Cuajimalpa de Morelos
45590,J,San Pedro Tlaquepaque
54416,E,Nicolás Romero
74169,P,Huejotzingo
44430,J,Guadalajara
73800,P,Teziutlán
45236,J,Zapopan
73080,P,Xicotepec
52766,E,Huixquilucan
4380,C,Coyoacán
45685,J,El Salto
44910,J,Guadalajara
3500,C,Benito Juárez
11400,C,Miguel Hidalgo
45653,J,Tlajomulco de Zúñiga
44320,J,Guadalajara
45599,J,San Pedro Tlaquepaque
44990,J,Guadalajara
56640,E,Chalco
44240,J,Guadalajara
55894,E,Acolman
4600,C,Coyoacán
56776,E,Ayapango
72660,P,Juan C. Bonilla
3020,C,Benito Juárez
75200,P,Tepeaca
44890,J,Guadalajara
6720,C,Cuauhtémoc
90350,T,Apizaco
56616,E,Valle de Chalco Solidaridad
55785,E,Tonanitla
52779,E,Huixquilucan
56000,E,Tezoyuca
4400,C,Coyoacán
44980,J,Guadalajara
72670,P,Coronango
2300,C,Azcapotzalco
6020,C,Cuauhtémoc
55980,E,Temascalapa
56650,E,Temamatla
56614,E,Valle de Chalco Solidaridad
55787,E,Tonanitla
72850,P,Ocoyucan
3300,C,Benito Juárez
2070,C,Azcapotzalco
72760,P,San Pedro Cholula
4100,C,Coyoacán
5219,C,Cuajimalpa de Morelos
4650,C,Coyoacán
55920,E,Otumba
52777,E,Huixquilucan
72730,P,Cuautlancingo
56567,E,Ixtapaluca
6600,C,Cuauhtémoc
11860,C,Miguel Hidalgo
10380,C,La Magdalena Contreras
3440,C,Benito Juárez
56644,E,Chalco
11320,C,Miguel Hidalgo
12300,C,Milpa Alta
56606,E,Chalco
56613,E,Valle de Chalco Solidaridad
56530,E,Ixtapaluca
12100,C,Milpa Alta
56536,E,Ixtapaluca
56624,E,Chalco
52790,E,Huixquilucan
56300,E,Atenco
56304,E,Atenco
56314,E,Atenco
56490,E,La Paz
56400,E,La Paz
56510,E,La Paz
56507,E,La Paz
56509,E,La Paz
56440,E,La Paz
56430,E,La Paz
56524,E,La Paz
56520,E,La Paz
72470,P,Puebla
72200,P,Puebla
72229,P,Puebla
72477,P,Puebla
72499,P,Puebla
72210,P,Puebla
72160,P,Puebla
72580,P,Puebla
72014,P,Puebla
72490,P,Puebla
72495,P,Puebla
72044,P,Puebla
72227,P,Puebla
56120,E,Texcoco
56247,E,Texcoco
56208,E,Texcoco
56240,E,Texcoco
56255,E,Texcoco
56217,E,Texcoco
56110,E,Texcoco
56260,E,Texcoco
56100,E,Texcoco
56140,E,Texcoco
56225,E,Texcoco
56265,E,Texcoco
56264,E,Texcoco
56220,E,Texcoco
56226,E,Texcoco
56230,E,Texcoco
56170,E,Texcoco
56210,E,Texcoco
56263,E,Texcoco
56205,E,Texcoco
56227,E,Texcoco
